,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed
2291,-0.022462046,-0.4629125,0.850014567,0.013684392,-0.003321117,0.005020664,498.184282,
2292,-0.018512674,-0.46170637,0.850258291,0.015208811,0.000954933,0.004110272,498.376706,
2293,-0.019006344,-0.46146515,0.848065019,0.015817076,-0.001183153,0.002887979,498.573858,
2294,-0.021474702,-0.459052891,0.84611547,0.016730741,-0.001183082,0.003803715,498.773718,
2295,-0.022215208,-0.453745902,0.857081831,0.014896035,-0.000572429,0.002581473,498.977418,
2296,-0.019993687,-0.455916971,0.850014567,0.011839792,0.001259852,0.001664844,499.173987,
2297,-0.024189893,-0.483899146,0.842216313,0.020694509,0.00248096,-0.002000063,499.377605,
2298,0,-0.378724664,0.860493541,-0.016873702,0.011033074,-0.011163041,499.574279,
2299,-0.02665825,-0.423110217,0.829544067,0.007864818,0.022943376,-0.016659377,499.781407,
2300,-0.024436731,-0.415149778,0.829544067,-0.003130764,0.024165107,-0.024295192,499.97744,
2301,-0.04541776,-0.439031124,0.889737189,0.024049252,0.046454113,-0.049638014,500.17435,
2302,-0.057019036,-0.458811671,0.810535729,0.045124099,0.026295558,-0.087206222,500.377893,
2303,-0.057759538,-0.436860085,0.864636421,0.046647355,0.022323059,0.002896154,500.574667,
2304,-0.019746851,-0.390062273,0.850745678,0.009079129,0.05958584,-0.076210894,500.77849,
2305,-0.060968406,-0.442167073,0.904358983,-0.004359901,0.019574165,-0.100645505,500.974851,
2306,-0.099968441,-0.465807199,0.917274892,0.013966054,0.040954448,-0.086290173,501.175313,
2307,0.000969784,-0.523701429,0.952854693,-0.002527297,0.058058675,-0.075600028,501.379595,
2308,-0.038753197,-0.453022242,0.886081696,0.027405098,0.084631316,-0.054525182,501.576063,
2309,-0.048132952,-0.487276316,0.858787715,0.121478342,0.056531511,-0.150736451,501.779767,
2310,-0.006911398,-0.426728636,0.87414062,0.030764848,-0.006387608,-0.111946516,501.976961,
2311,-0.072076008,-0.503920913,0.753266931,0.020685568,0.04003815,-0.095147721,502.183345,
2312,-0.065905116,-0.611748874,0.968938649,0.022823602,0.014381811,-0.093009688,502.379858,
